case,year,strategy,merge_status,table4_yield_t_ha,yield_t_ha_reconstructed,yield_t_ha_delta_vs_table4,yield_t_ha_table4_pass,table4_irrigation_mm,irrigation_mm_reconstructed,irrigation_mm_delta_vs_table4,irrigation_mm_table4_pass,table4_WP_kg_m3,WP_kg_m3_reconstructed,WP_kg_m3_delta_vs_table4,WP_kg_m3_table4_pass,row_pass
case1_gimje,2015,rainfed,both,3.856,3.856,0.0,True,0.0,0.0,0.0,True,0.958,0.958,0.0,True,True
case1_gimje,2015,deficit_SMT50,both,6.633,6.633,0.0,True,175.0,175.0,0.0,True,1.148,1.148,0.0,True,True
case1_gimje,2015,fixed_7d_80pct,both,7.009,7.009,0.0,True,239.0,238.9,-0.09999999999999432,True,1.093,1.092,-0.0009999999999998899,True,True
case1_gimje,2015,full_SMT80,both,7.168,7.168,0.0,True,287.0,286.9,-0.10000000000002274,True,1.04,1.04,0.0,True,True
case1_gimje,2019,rainfed,both,6.142,6.142,0.0,True,0.0,0.0,0.0,True,0.91,0.91,0.0,True,True
case1_gimje,2019,deficit_SMT30,both,6.613,6.613,0.0,True,50.0,50.0,0.0,True,0.912,0.912,0.0,True,True
case1_gimje,2019,deficit_SMT50,both,7.018,7.018,0.0,True,125.0,125.0,0.0,True,0.877,0.877,0.0,True,True
case1_gimje,2019,full_SMT80,both,7.322,7.322,0.0,True,205.0,205.1,0.09999999999999432,True,0.832,0.832,0.0,True,True
case1_gimje,2019,fixed_7d_80pct,both,7.24,7.24,0.0,True,144.0,143.7,-0.30000000000001137,True,0.884,0.884,0.0,True,True
case1_gimje,2022,rainfed,both,6.261,6.261,0.0,True,0.0,0.0,0.0,True,0.851,0.851,0.0,True,True
case1_gimje,2022,deficit_SMT50,both,7.22,7.22,0.0,True,100.0,100.0,0.0,True,0.864,0.864,0.0,True,True
case1_gimje,2022,fixed_7d_80pct,both,7.252,7.252,0.0,True,94.0,93.5,-0.5,True,0.874,0.874,0.0,True,True
case2_hampyeong,2015,rainfed,both,6.016,6.016,0.0,True,0.0,0.0,0.0,True,1.041,1.041,0.0,True,True
case2_hampyeong,2015,deficit_SMT30,both,6.362,6.362,0.0,True,25.0,25.0,0.0,True,1.055,1.055,0.0,True,True
case2_hampyeong,2015,deficit_SMT50,both,6.772,6.772,0.0,True,75.0,75.0,0.0,True,1.037,1.037,0.0,True,True
case2_hampyeong,2015,fixed_7d_80pct,both,7.138,7.138,0.0,True,143.0,142.8,-0.19999999999998863,True,0.991,0.991,0.0,True,True
case2_hampyeong,2019,rainfed,both,7.197,7.197,0.0,True,0.0,0.0,0.0,True,0.874,0.874,0.0,True,True
case2_hampyeong,2019,deficit_SMT50,both,7.305,7.305,0.0,True,50.0,50.0,0.0,True,0.836,0.836,0.0,True,True
case2_hampyeong,2019,fixed_7d_80pct,both,7.307,7.307,0.0,True,114.0,114.2,0.20000000000000284,True,0.779,0.779,0.0,True,True
case2_hampyeong,2022,rainfed,both,7.233,7.233,0.0,True,0.0,0.0,0.0,True,1.0,0.999,-0.0010000000000000009,True,True
case2_hampyeong,2022,deficit_SMT50,both,7.233,7.233,0.0,True,0.0,0.0,0.0,True,1.0,0.999,-0.0010000000000000009,True,True
case2_hampyeong,2022,fixed_7d_80pct,both,7.408,7.408,0.0,True,89.0,88.8,-0.20000000000000284,True,0.912,0.912,0.0,True,True
